F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055119307,0.98834115,1.8760169e-05,0.7576216,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.4630313e-10,3.1876353e-09,13049.121,15518.262,16996.875,18303.223,7.662423e-05,14202.833,11.358073,21331698.0,-1.6179619,5.33004,4.9020263e-09,9.499142,4.049708e-08,-7.3491955,4.859587,2.4495347,8.172209,2.953359,8.45592,7.6358056,12.215447,21.137201,5.387632,2.766094,6.7891173,-0.71471184,1.2471653
0.0,0.0,0.0,0.0,0.0,-100.0,0.005566534,0.98834115,1.794468e-05,0.75522804,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.2113625e-10,3.3676646e-09,12388.77,15087.598,16853.32,18317.578,0.00014841324,13699.274,12.142834,24434890.0,-1.4128302,4.601886,3.778486e-09,9.191201,3.5429395e-08,-7.696266,3.3469985,1.3339568,10.028624,3.474384,5.1434784,5.205095,10.127258,18.828432,9.936053,6.9503503,10.976082,7.7343116,2.6776848
0.0,0.0,0.0,0.0,0.0,-100.0,0.005671831,0.98834115,1.6900058e-05,0.7510708,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.5882717e-10,3.6396655e-09,11742.773,14542.09,16408.3,18073.535,0.00020845585,13149.47,12.901191,26156470.0,-1.2238102,3.9644318,2.614185e-09,8.877121,2.9917167e-08,-8.317133,2.7639942,1.839932,9.373656,3.7149239,7.041693,7.137234,6.902045,13.035667,9.047982,7.290607,11.702399,12.473641,5.715628
0.0,0.0,0.0,0.0,0.0,-100.0,0.005765462,0.98834115,1.657658e-05,0.7469136,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.0712891e-10,3.824264e-09,11441.309,14585.156,16594.922,18073.535,0.00019363844,13015.999,13.178592,28722456.0,-1.1326598,3.4619703,2.181533e-09,8.764107,2.72178e-08,-9.091422,1.4289504,1.5369768,6.42701,4.0463705,6.165176,7.459774,13.778671,13.393559,10.7064085,10.825954,12.086766,11.461673,7.5640984
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057309815,0.9896783,1.7373437e-05,0.74048877,0.13036124,0.2612131,0.40705898,0.54725826,0.64203113,0.74784327,0.86485857,0.92498046,0.99450773,1.0402368,1.0945597,1.1434511,1.2088637,1.2619833,1.368353,1.3535256,1.3958831,1.4710594,1.506566,1.4264215,1.4016634,1.2561511,1.0618858,0.8922306,0.7323096,0.5963772,2.0435616e-10,3.6866903e-09,12029.883,14972.754,16910.742,18044.824,0.00019315774,13433.605,12.51617,26727408.0,-1.284527,3.9299939,3.0611262e-09,9.010025,3.0793583e-08,-10.3141775,1.3082074,2.4203355,5.969156,7.43075,11.495805,13.032581,13.103284,8.662482,5.039757,6.195935,10.850372,8.183591,11.067029
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057258965,0.9925347,1.8371376e-05,0.73897713,0.13118683,0.25553712,0.41941378,0.5453206,0.59303373,0.72242206,0.8922532,0.95675707,1.0482279,1.0208782,1.077468,1.1095462,1.1826932,1.2221931,1.4437323,1.3160118,1.3725296,1.5206116,1.5767769,1.412193,1.4326048,1.3053412,1.0499372,0.8801343,0.7247631,0.59433573,3.4565328e-10,3.577144e-09,12431.836,15590.039,17614.16,18331.934,0.00020423078,13950.953,11.888696,26373240.0,-1.4157572,4.2812777,4.034105e-09,9.284466,3.480822e-08,-8.831906,1.8708543,2.7199733,5.406752,7.093117,10.660941,11.648933,12.147045,6.7937393,2.5225115,3.7302496,10.851422,6.959727,10.688695
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057309046,0.9953857,1.8627676e-05,0.73985887,0.13216478,0.23901428,0.44493356,0.5692534,0.5529113,0.71198034,0.9263757,1.0064037,1.153282,0.9869768,1.085343,1.0764475,1.1345046,1.1658859,1.4795275,1.2474918,1.3395557,1.5564166,1.6542712,1.405119,1.4471006,1.3467041,1.0319557,0.8699822,0.7222964,0.59413135,4.7138377e-10,3.458432e-09,12187.793,15446.484,17542.383,18217.09,0.00021644309,13890.722,11.583468,25804736.0,-1.3861856,4.274611,4.099905e-09,9.262723,3.5994166e-08,-8.287365,3.6297777,-0.61079246,0.73098946,4.731155,12.809375,7.874909,8.8128805,6.1210456,1.0794277,5.1688457,12.660304,11.202939,14.938136
0.0,0.0,0.0,0.0,0.0,-100.0,0.005822222,0.99993277,1.860899e-05,0.74766946,0.13121617,0.23839219,0.5029916,0.6401153,0.5651453,0.75364333,0.9545553,1.025499,1.2625772,0.9731304,1.1181706,1.0419024,1.0530559,1.1118145,1.4223785,1.213518,1.3628322,1.555975,1.6531144,1.4091986,1.4200166,1.3600668,1.0275964,0.8652036,0.7321112,0.60402936,7.160517e-10,3.4854084e-09,11828.906,15145.02,17441.895,18174.023,0.00021103049,13718.028,11.711848,26532496.0,-1.3007778,3.9945066,3.6845467e-09,9.16055,3.449845e-08,-6.564091,6.30913,0.7179842,-0.14657705,1.7045015,10.524318,3.8717384,3.1875412,3.6331673,6.192589,4.6698647,9.376134,7.714517,8.303537
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055351662,0.99599344,1.9026173e-05,0.7537163,0.12995552,0.24162729,0.5434452,0.70696217,0.60872895,0.80391335,0.97742444,0.98697466,1.2900673,1.0021938,1.1681111,1.0022959,0.94990987,1.0967246,1.3016223,1.194081,1.4102634,1.4972792,1.5953976,1.4146066,1.4159932,1.3146181,1.024405,0.8586065,0.74357635,0.61704624,5.25575e-10,3.0492606e-09,12230.859,15259.863,17427.54,18217.09,0.00021749955,13968.417,11.374879,24041808.0,-1.4400283,4.7638745,4.648694e-09,9.324458,3.7918202e-08,-7.5220127,6.276521,0.72140664,1.5814046,4.474539,13.10392,5.234418,2.1398814,2.4911063,10.44341,7.2616754,8.711837,6.055658,6.665516
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055266446,0.98491806,1.9345864e-05,0.7625346,0.12738228,0.26066253,0.5474553,0.72211576,0.6450136,0.8108227,0.94566846,0.9087437,1.2466925,1.0974019,1.2068729,0.97697085,0.8934377,1.1104017,1.2033713,1.2248718,1.4561783,1.3901807,1.4936129,1.3661507,1.4561166,1.2732203,1.0213723,0.8537994,0.74353594,0.6258159,4.9678356e-10,3.209949e-09,12718.945,15546.973,17513.672,18303.223,0.00022647898,14228.397,11.397895,22595290.0,-1.55229,5.1498227,5.0794147e-09,9.480937,3.8834823e-08,-6.8984694,4.825203,0.50928926,7.61424,8.085616,10.044139,6.5431523,-1.29734,0.6048077,14.708199,5.998638,11.420563,7.150224,0.062202055
0.0,0.0,0.0,0.0,0.0,-100.0,0.0055392385,0.9732702,1.9317727e-05,0.77223474,0.12424836,0.28960988,0.51705384,0.6932132,0.6681058,0.76908016,0.89350957,0.8682127,1.1859227,1.1768689,1.2239729,1.0022413,0.9240548,1.1629049,1.2020173,1.2850194,1.4488778,1.2543411,1.4066366,1.2968448,1.4766773,1.2416116,1.0098102,0.8466498,0.72565085,0.6118893,4.31755e-10,3.4066272e-09,12977.344,15762.305,17413.184,18317.578,0.00023038879,14356.898,11.356308,21422986.0,-1.6361632,5.4549046,5.3559934e-09,9.570828,4.0990997e-08,-6.530655,2.5459993,-1.7252254,7.4284,7.5101266,7.8276577,9.747941,3.7113845,0.166646,8.594804,8.078785,9.537465,12.626512,9.5927305
0.0,0.0,0.0,0.0,0.0,-100.0,0.005822335,0.9753879,1.8473647e-05,0.7804232,0.12095939,0.29741207,0.47484985,0.67371607,0.7027087,0.7308577,0.83045197,0.88671875,1.1835052,1.2048401,1.2494832,1.0971268,1.0433089,1.2025962,1.2770095,1.3423553,1.3938642,1.1446972,1.3759373,1.2615725,1.450038,1.2502304,1.010419,0.86521643,0.70644164,0.583769,6.565239e-10,3.8507286e-09,12790.723,15403.418,16896.387,17973.047,0.0002261667,13955.332,11.828757,22580202.0,-1.5338331,4.870746,4.0535606e-09,9.356818,3.7187274e-08,-6.1845756,1.7302427,-2.290042,6.8817897,7.1280746,0.66768,5.1249394,-0.09619538,2.2791214,8.467687,10.141786,9.997338,15.990368,11.551913
0.0,0.0,0.0,0.0,0.0,-100.0,0.0058406056,0.9961627,1.7576487e-05,0.7849584,0.11859682,0.29994357,0.45655143,0.6981495,0.752075,0.7544839,0.8360689,0.9321416,1.2040405,1.1564218,1.2716635,1.2141625,1.1623521,1.2186795,1.3796133,1.3935336,1.3814799,1.1341282,1.394255,1.305854,1.3809214,1.2765621,1.0471274,0.88504744,0.69251305,0.5538649,6.665854e-10,3.7810426e-09,12632.8125,15073.242,16422.656,17772.07,0.00021173216,13604.501,12.309968,23114686.0,-1.4614391,4.640217,3.31309e-09,9.172719,3.4632382e-08,-6.121292,2.39954,0.5184942,3.4442842,3.7520943,2.9473648,6.7895207,1.3591113,8.18049,8.128957,7.0773873,7.2451057,11.750138,13.310802
0.0,0.0,0.0,0.0,0.0,-100.0,0.0057820645,1.0127937,1.6974036e-05,0.78231287,0.11759138,0.28526753,0.4573588,0.6906109,0.7611906,0.8320113,0.8667392,0.96861154,1.2304045,1.095884,1.252297,1.2698945,1.2072061,1.180391,1.4297627,1.3755836,1.4258069,1.219286,1.4467539,1.4067898,1.3321806,1.2734624,1.0990547,0.9010977,0.67825985,0.52913696,6.2494854e-10,3.5988181e-09,12374.414,15001.465,16609.277,17872.559,0.00020723643,13568.133,12.60408,24387402.0,-1.3583565,4.3319798,3.0043903e-09,9.127459,3.2120493e-08,-6.758938,2.0393946,0.1674521,0.082317986,6.0746856,7.686361,7.639547,2.3777776,10.752277,7.382023,7.3845325,9.297114,10.594611,4.1049027
